4700	0
4800	0.080
4878.04878	1.053
4956.097561	2.007
5034.146341	2.012
5112.195122	2.017
5190.243902	2.021
5268.292683	2.492
5346.341463	2.495
5424.390244	2.497
5502.439024	2.499
5580.487805	2.500
5658.536585	2.500
5736.585366	2.501
5814.634146	2.500
5892.682927	2.500
5970.731707	2.500
6048.780488	2.499
6126.829268	2.498
6204.878049	2.496
6282.926829	2.495
6360.97561	2.492
6439.02439	2.490
6517.073171	2.644
6595.121951	2.642
6673.170732	2.640
6751.219512	2.638
6829.268293	2.637
6907.317073	2.635
6985.365854	2.633
7063.414634	2.629
7141.463415	2.626
7219.512195	2.623
7297.560976	2.621
7375.609756	2.618
7453.658537	2.616
7531.707317	2.177
7609.756098	1.374
7687.804878	1.373
7765.853659	0.571
7843.902439	0.000
