13500	0.000
13621.95122	0.458
13743.90244	0.862
13865.85366	1.268
13987.80488	1.674
14109.7561	2.397
14231.70732	2.400
14353.65854	2.407
14475.60976	2.409
14597.56098	2.435
14719.5122	2.438
14841.46341	2.440
14963.41463	2.442
15085.36585	2.451
15207.31707	2.453
15329.26829	2.456
15451.21951	2.458
15573.17073	2.503
15695.12195	2.505
15817.07317	2.506
15939.02439	2.508
16060.97561	2.518
16182.92683	2.519
16304.87805	2.521
16426.82927	2.521
16548.78049	2.536
16670.73171	2.538
16792.68293	2.540
16914.63415	2.541
17036.58537	2.587
17158.53659	2.589
17280.4878	2.590
17402.43902	2.523
17524.39024	2.225
17646.34146	1.878
17768.29268	1.531
17890.2439	1.184
18012.19512	0.487
18134.14634	0.140
18256.09756	0.000
